direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Title;cs+class://Examples/Utilities/SetWindowTitle
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Icon;cs+class://Examples/Utilities/SetWindowTitle
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Egl/EglUnixContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/DesktopGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Dummy/DummyGLContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES11/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Egl/EglUnixContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES11/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/EmbeddedGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES11/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/DesktopGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES11/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Dummy/DummyGLContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES20/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Egl/EglUnixContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES20/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/EmbeddedGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES20/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/DesktopGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES20/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Dummy/DummyGLContext/LoadAll
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/Windows/WinMMJoystick/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/Windows/WinMMJoystick/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/Windows/WinMMJoystick/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;SetAxis;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/ProcessJoystickEvent
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;SetButton;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/ProcessJoystickEvent
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetState
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetState
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetState
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetState
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetCapabilities
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/SDL2/Sdl2JoystickDriver/GetCapabilities
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Id;cs+class://OpenTK/Platform/Linux/LinuxJoystick/JoystickRemoved
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/Linux/LinuxJoystick/CreateGuid
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/Linux/LinuxJoystick/CreateGuid
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Description;cs+class://OpenTK/Platform/Linux/LinuxJoystick/OpenJoystick
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Axis;cs+class://OpenTK/Platform/Linux/LinuxJoystick/GetCapabilities
True;MethodCall;cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;Button;cs+class://OpenTK/Platform/Linux/LinuxJoystick/GetCapabilities
False;MethodCall;cs+class://OpenTK/Audio/AudioDeviceException;cs+class://OpenTK/Audio/AudioException;Message;cs+class://Examples/RecorderDiagnostic/(field initializer)
False;MethodCall;cs+class://OpenTK/Audio/AudioDeviceException;cs+class://OpenTK/Audio/AudioException;Message;cs+class://Examples/Parrot/StartRecording
False;MethodCall;cs+class://OpenTK/Audio/AudioContextException;cs+class://OpenTK/Audio/AudioException;ToString;cs+class://OpenTK/Audio/AudioDeviceEnumerator/(field initializer)
True;MethodCall;cs+class://OpenTK/Audio/AudioException;cs+class://System/Exception;Message;cs+class://Examples/Parrot/StartRecording
True;MethodCall;cs+class://OpenTK/Graphics/ES30/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Egl/EglUnixContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES30/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/EmbeddedGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES30/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/DesktopGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/ES30/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Dummy/DummyGLContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL4/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Egl/EglUnixContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL4/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/DesktopGraphicsContext/LoadAll
True;MethodCall;cs+class://OpenTK/Graphics/OpenGL4/GL;cs+class://OpenTK/Graphics/GraphicsBindingsBase;LoadEntryPoints;cs+class://OpenTK/Platform/Dummy/DummyGLContext/LoadAll
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Windows/WinGLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Data;cs+class://OpenTK/Platform/Windows/WinGLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Windows/WinGLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/Windows/WinGLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Data;cs+class://OpenTK/Platform/X11/X11GLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/X11/X11GLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/X11/X11GLNative/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Data;cs+class://OpenTK/Platform/SDL2/Sdl2NativeWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/SDL2/Sdl2NativeWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/SDL2/Sdl2NativeWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/SDL2/Sdl2NativeWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Data;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/MacOS/CocoaNativeWindow/ToNSCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Height;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Width;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;Data;cs+class://OpenTK/Platform/Linux/LinuxNativeWindow/CreateCursor
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Input/MouseDevice/HandleMouseMove
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Platform/NativeWindowBase/OnMouseMove
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tutorial/MouseCursorSimple/Mouse_Move
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;X;cs+class://Examples/Tutorial/MouseCursorSimple/Mouse_Move
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Y;cs+class://Examples/Tutorial/MouseCursorSimple/Mouse_Move
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;X;cs+class://Examples/Tutorial/Picking/(field initializer)
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Y;cs+class://Examples/Tutorial/Picking/(field initializer)
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tutorial/T12_GLSL_Parallax/OnMouseMove
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tutorial/T12_GLSL_Parallax/OnMouseMove
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tutorial/T12_GLSL_Parallax/OnMouseMove
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;X;cs+class://Examples/Tests/GameWindowStates/MouseDeviceMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Y;cs+class://Examples/Tests/GameWindowStates/MouseDeviceMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseDeviceMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseDeviceMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseDeviceMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;X;cs+class://Examples/Tests/GameWindowStates/MouseMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Y;cs+class://Examples/Tests/GameWindowStates/MouseMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/GameWindowStates/MouseMoveHandler
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://Examples/Tests/BasicMouseInput/(field initializer)
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;X;cs+class://Examples/Tests/BasicMouseInput/(field initializer)
True;MethodCall;cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Y;cs+class://Examples/Tests/BasicMouseInput/(field initializer)
True;MethodCall;cs+class://OpenTK/Input/MouseButtonEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Input/MouseDevice/HandleMouseDown
True;MethodCall;cs+class://OpenTK/Input/MouseButtonEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Input/MouseDevice/HandleMouseUp
True;MethodCall;cs+class://OpenTK/Input/MouseButtonEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Platform/NativeWindowBase/OnMouseDown
True;MethodCall;cs+class://OpenTK/Input/MouseButtonEventArgs;cs+class://OpenTK/Input/MouseEventArgs;Mouse;cs+class://OpenTK/Platform/NativeWindowBase/OnMouseUp
