direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;Condition;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;ConditionExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;TimeToLiveTimeSpan;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheResultAdvice/GetReturnValue
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;Condition;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;ConditionExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;TimeToLiveTimeSpan;cs+class://Spring/Aspects/Cache/CacheResultAdvice/CacheResultItems
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;Condition;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;ConditionExpression;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;KeyExpression;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;CacheName;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;TimeToLiveTimeSpan;cs+class://Spring/Aspects/Cache/CacheParameterAdvice/AfterReturning
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Add;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/IsSerializable
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Count;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/IsSerializable
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Add;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/AcceptsNonStringKeys
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Count;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/AcceptsNonStringKeys
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Add;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/IgnoresCase
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Count;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/IgnoresCase
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Add;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/IgnoresCase
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Count;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/InitializeFromOtherCopiesValues
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Count;cs+class://Spring/Collections/CaseInsensitiveHashtableTests/InitializeFromOtherCopiesValues
True;MethodCall;cs+class://Spring/Collections/HybridSet;cs+class://Spring/Collections/DictionarySet;Remove;cs+class://Spring/Expressions/Processors/DistinctProcessor/Process
True;MethodCall;cs+class://Spring/Collections/ListSet;cs+class://Spring/Collections/DictionarySet;Add;cs+class://Spring/Objects/Factory/Support/AbstractAutowireCapableObjectFactory/UnsatisfiedNonSimpleProperties
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/ConstructorUsingComparator
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/IsEmpty
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/IsEmpty
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/Size
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/AddAllWithNullElements
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/AddAllWithCollectionWithNullElements
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/AddAllWithCollectionWithSomeNullElements
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/AddAllWithCollection
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;AddAll;cs+class://Spring/Collections/PriorityQueueTests/AddAllWithCollection
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Element;cs+class://Spring/Collections/PriorityQueueTests/Element
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Element;cs+class://Spring/Collections/PriorityQueueTests/Element
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/Remove
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/Remove
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/RemoveAll
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/Serialization
True;MethodCall;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;Remove;cs+class://Spring/Collections/PriorityQueueTests/Serialization
True;MethodCall;cs+class://Spring/Collections/SortedSet;cs+class://Spring/Collections/DictionarySet;Add;cs+class://Spring/Transaction/Interceptor/RuleBasedTransactionAttribute/ToString
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;Defaults;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParser/ConfigureScanner
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithAssemblyFilter;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParser/ParseBaseAssembliesAttribute
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithIncludeFilter;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParser/ParseTypeFilters
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithExcludeFilter;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParser/ParseTypeFilters
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;ScanStartFolderPath;cs+class://Spring/Context/Support/GenericApplicationContextExtensions/Scan
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithAssemblyFilter;cs+class://Spring/Context/Support/GenericApplicationContextExtensions/Scan
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;AssemblyHavingType;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/AssemblyHavingType_T_Adds_Assembly
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;IncludeType;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/IncludeType_T_Adds_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;IncludeType;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/IncludeType_T_Adds_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;IncludeType;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithExcludeFilter_Excludes_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;IncludeType;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithExcludeFilter_Excludes_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithExcludeFilter;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithExcludeFilter_Excludes_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;Scan;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithExcludeFilter_Excludes_Type
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithIncludeFilter;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithIncludeFilter_Includes_Types
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;Scan;cs+class://Spring/Context/Attributes/AssemblyTypeScannerTests/WithIncludeFilter_Includes_Types
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithIncludeFilter;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Types_With_Multiple_Include_Filters
False;MethodCall;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;WithIncludeFilter;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Types_With_Multiple_Include_Filters
False;MethodCall;cs+class://Spring/Context/Attributes/ScannedGenericObjectDefinition;cs+class://Spring/Objects/Factory/Support/GenericObjectDefinition;HasQualifier;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParserTests/ComponentWithQualifier
False;MethodCall;cs+class://Spring/Context/Attributes/ScannedGenericObjectDefinition;cs+class://Spring/Objects/Factory/Support/GenericObjectDefinition;GetQualifier;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParserTests/ComponentWithQualifier
False;MethodCall;cs+class://Spring/Context/Attributes/ScannedGenericObjectDefinition;cs+class://Spring/Objects/Factory/Support/GenericObjectDefinition;GetQualifier;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParserTests/ComponentWithQualifierAttributes
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Assembly_Based_On_Assembly_Metadata
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Assembly_Containing_Specific_Type_But_Having_NO_Definitions
True;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;DefaultListableObjectFactory;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Assembly_Containing_Specific_Type_But_Having_NO_Definitions
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Assembly_Containing_Specific_Type
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Type
True;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;DefaultListableObjectFactory;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Type
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Types_With_Compound_Predicate
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Filter_For_Specific_Types_With_Multiple_Include_Filters
False;MethodCall;cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;Refresh;cs+class://Spring/Context/Support/CodeConfigApplicationContextTests/Can_Perform_Scan_With_No_Filtering
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Context/Attributes/CodeConfigApplicationContextTests/CreateApplicationContext
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessorTests/CreateApplicationContext
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessorTests/CreateApplicationContext
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;ObjectDefinitionCount;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessorTests/CreateApplicationContext
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessorTests/CreateApplicationContext
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Context/Support/ContextRegistryTests/ClearWithDynamicProxies
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Context/Support/XmlApplicationContextTests/GenericApplicationContextWithXmlObjectDefinitions
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;ContainsObject;cs+class://Spring/Context/Support/XmlApplicationContextTests/GenericApplicationContextWithXmlObjectDefinitions
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;ContainsObject;cs+class://Spring/Context/Support/XmlApplicationContextTests/GenericApplicationContextWithXmlObjectDefinitions
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;ContainsObject;cs+class://Spring/Context/Support/XmlApplicationContextTests/GenericApplicationContextWithXmlObjectDefinitions
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Context/Support/XmlApplicationContextTests/GenericApplicationContextWithXmlObjectDefinitions
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/Setup
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/PostContructMethodExecuted
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/ExecutedInCorrectOrder
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/NoExceptionIfMethodHasReturnValue
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/WithArgumentMustThrowException
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/AttributeOnbaseTypeMethod
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PostConstructAttributeTests/SameMethodDefinedInXml
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/Setup
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/PreDestroyMethodExecution
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/PreDestroyMethodExecution
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/PreDestroyInBaseType
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/PreDestroyInBaseType
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/SameMethodDefinedInXml
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/SameMethodDefinedInXml
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/InCorrectOrder
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/InCorrectOrder
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/WithArgumentMustThrowException
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Attributes/PreDestroyAttributeTests/WithArgumentMustThrowException
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Objects/Factory/Config/DestructionAwareObjectPostProcessorTest/Setup
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Config/DestructionAwareObjectPostProcessorTest/PostProcessBeforeDestructionIsCalled
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Dispose;cs+class://Spring/Objects/Factory/Config/DestructionAwareObjectPostProcessorTest/PostProcessBeforeDestructionIsCalled
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Objects/Factory/Support/ObjectDefinitionBuilderTests/Simple
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Objects/Factory/Support/ObjectDefinitionBuilderTests/Simple
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Objects/Factory/Support/ObjectDefinitionBuilderTests/Simple
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Objects/Factory/Support/ObjectDefinitionBuilderTests/SimpleReader
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Aop/Framework/AutoProxy/DefaultAdvisorAutoProxyCreatorTests/CanProxyFactoryMethodProducts
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Aop/Framework/AutoProxy/DefaultAdvisorAutoProxyCreatorTests/CanProxyFactoryMethodProducts
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Aop/Framework/AutoProxy/DefaultAdvisorAutoProxyCreatorTests/CanProxyFactoryMethodProducts
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/FailsWithNoPersistenceExceptionTranslators
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/FailsWithNoPersistenceExceptionTranslators
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/FailsWithNoPersistenceExceptionTranslators
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;RegisterObjectDefinition;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;Refresh;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
True;MethodCall;cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;GetObject;cs+class://Spring/Dao/Attributes/PersistenceExceptionTranslationPostProcessorTests/ProxiesCorrectly
